Gene	target_id	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq	GeneID
AAF1	C3_06470W_A	0.27246584420701203	0.44189104058365847	-0.10977027015788017	0.10002743140444616	6.369355159454971	0.013796894903462505	0.0022707502863179275	0.009671887631755445	0.019963665343395814	0.019963665343395814	3642284
AAH1	C2_06970W_A	0.04005586456662956	0.11243552944738484	0.2911492248913913	0.14180457095474133	6.4223639635648775	0.06264656265568526	0.0024079085442533375	0.04227772777498727	0.020048084922378688	0.04227772777498727	3643529
AAP1	C3_03990C_A	0.27960183754636886	0.4494015634358806	-0.2581144771990753	0.23872649315754085	5.909724358051723	0.12932095919078726	0.003211673904888999	0.12343352284021636	0.01998105451020529	0.12343352284021636	3647397
AAT1	C2_05250C_A	1.7817315165141357e-4	0.0014733263940994838	-0.5255035343901241	0.1402049936951349	8.654992769250109	0.114932235126634	2.0278466445472333e-4	0.043480415906773755	0.033779622054729265	0.043480415906773755	3643468
AAT21	CR_07620W_A	0.5081756670759101	0.6627842422333539	0.10200409580045193	0.15415901581967528	7.719660978078003	0.04909995851930678	6.098282840856234e-4	0.05220128762367192	0.026514488711562364	0.05220128762367192	3647241
AAT22	C4_01200C_A	2.7097157384494874e-21	1.2427173255873727e-18	0.9947795610215261	0.1050080505047976	5.988588679131194	0.28909449679075994	0.004581945822999531	0.011657360024796004	0.019921811223262968	0.019921811223262968	3635651
ABC1	C1_01450W_A	0.0012622050127274662	0.007543661724962987	0.360407535485601	0.11177377756258407	7.8215128668953815	0.045684950459337605	5.57715657382802e-4	0.010417595459699943	0.027205345121750584	0.027205345121750584	3640239
ABD1	C3_07710W_A	0.0037530200699398665	0.018355624000805155	0.29017347057565124	0.10012169749837599	6.280106237259669	0.028859701332404227	0.002404512691998857	0.0038476402510923538	0.019871830219015167	0.019871830219015167	3638456
ABG1	C2_09390W_A	0.0018555725277339223	0.010300673566433561	-0.3097020506474241	0.0995050695347095	6.6661026446431215	0.042122566073198614	0.0013514960253443336	0.016339258796336912	0.020651301448227608	0.020651301448227608	3647715
ABP1	C4_02940W_A	0.7660505469366053	0.8578499926438844	-0.03187158658604085	0.10711522328360613	7.45205641817299	0.010702707254092723	6.90282867263032e-4	0.011218907000426642	0.02480676393072985	0.02480676393072985	3637875
ABP140	C1_02190W_A	0.8035121862302649	0.879805262498593	0.03870578870938607	0.1555672189981292	5.9110091554859014	0.04747395985202767	0.0038995010735108065	0.04988085365273783	0.019979707229757268	0.04988085365273783	3644592
ABP2	C2_04970W_A	0.012035774720990497	0.0453013187415059	-0.640305572165127	0.2549907131447243	5.516470536604526	0.2403147422989157	0.0045714939378841855	0.1399179811511271	0.020666906259897876	0.1399179811511271	3643443
ABZ1	C4_05290W_A	0.1602701317892183	0.3061271672441969	0.14147676787370128	0.10075518669485545	6.401484680993795	0.015387613920540638	0.0025462451488751504	0.008685416522857278	0.020012882953158576	0.020012882953158576	3648307
ACB1	C7_00750W_A	2.250889722249288e-4	0.0018037371672110557	-0.744937308320147	0.20193176907074223	6.274965070351889	0.23343518579098396	0.002324398655622818	0.08828991103335403	0.01986890986794757	0.08828991103335403	30515350
ACC1	CR_00640W_A	0.21166151986316806	0.37137821967355594	-0.19883768154656417	0.15919626473204812	7.116812736492405	0.06026127181535206	0.00108736563893374	0.055231413704702595	0.02278067248272315	0.055231413704702595	3639688
ACE2	CR_07440W_A	0.0020355745054239233	0.01112382694898023	-0.3122553812114908	0.10121755742658474	6.036672085193438	0.04444068462131418	0.0028659838578124755	0.01696990234574228	0.019900669323085256	0.019900669323085256	3646034
ACF2	C6_01690W_A	9.6548304959685e-10	3.597631213560263e-8	0.8478762288112442	0.1386548235353804	4.547355615849391	0.23707506111404716	0.016192470994111172	0.026530106982838777	0.02601291982152004	0.026530106982838777	3641613
ACH1	C5_02000C_A	0.8052539288658984	0.8810593533380691	0.03275413306039679	0.13284806742750682	7.667057998796654	0.03461474899086154	6.057644599300673e-4	0.03861336669389971	0.026166647655731803	0.03861336669389971	3643773
ACO1	CR_08210C_A	0.2785230226315621	0.44855598620458487	0.1820562554974771	0.16800387171807238	8.647726275920734	0.06408932959766674	2.653312014926267e-4	0.06245755971464632	0.033714767969412404	0.06245755971464632	3642090
ACO2	CR_05790C_A	0.0820742738132063	0.18951464774373972	0.25962886568252097	0.14931707840297131	6.124716421547936	0.06207674367088507	0.0033169878832707026	0.04622876745628283	0.01986360594097421	0.04622876745628283	3646708
ACP1	C1_06060C_A	0.1930029209506874	0.3493270840036425	-0.1304246578250948	0.10019202484456607	6.330365934173432	0.010761822183389112	0.0023941260272681265	0.0045049115890517764	0.019913522511518865	0.019913522511518865	3639825
ACP12	C2_04030C_A	0.028759971395478284	0.08875100903718505	-0.2182514844052983	0.0998058215977806	6.459031544950629	0.018883411779773405	0.002019923080164182	0.004439306114143322	0.02011608141940918	0.02011608141940918	3637361
ACS1	C2_10350C_A	0.0011404393738378151	0.0069380607620623	0.5670062931725445	0.17428262925872295	7.658061729985297	0.14836588347961213	7.944394689080685e-4	0.06670430466738854	0.02610776344748053	0.06670430466738854	3643941
ACS2	C1_04290C_A	0.2887907264758343	0.4590163453076311	-0.11015913539598148	0.1038474761196923	7.158684933233562	0.022515292818575686	9.342606837602602e-4	0.020945110438678565	0.023030846641639884	0.023030846641639884	3644710
ACT1	C1_13700W_A	8.691527103225447e-7	1.4890484077422447e-5	-0.6629569301043386	0.13477028331362942	9.313151718493154	0.14364110210212108	1.0611921217496957e-4	0.024527555833623975	0.04025616804212712	0.04025616804212712	3636195
ADA2	C1_10860C_A	0.5480927685837298	0.6960019353133541	0.07189615530889314	0.11970312888148778	5.180894481513092	0.029297480721201967	0.007768775482352963	0.02407308910435387	0.02170968695711408	0.02407308910435387	3644450
ADAEC	C2_03520C_A	5.093710872927437e-13	3.4906556579762504e-11	0.7862797150409784	0.10886116101141875	7.569596251100301	0.18224685136343108	7.969818807993963e-4	0.011219803713940367	0.025538023400876245	0.025538023400876245	3637342
ADE1	CR_00510C_A	0.17078353610494879	0.32029299850824305	-0.1365173708971803	0.09967023287607793	6.32484629211259	0.0168475332055789	0.002168201105557294	0.011169616984412845	0.01990769960904628	0.01990769960904628	3639722
ADE12	C1_09640W_A	0.9733224419108889	0.9833839008087986	-0.0039194614067162604	0.11720319142548219	8.22585996605637	0.013067156251869909	3.4298303266484234e-4	0.014586032944799588	0.03018276825693121	0.03018276825693121	3634869
ADE13	CR_06150C_A	0.04867533240852922	0.12951418748070706	-0.23499251381612024	0.11919934284883053	8.364258085223943	0.022620999954308083	2.8253844795745784e-4	0.008039403865023323	0.03129186896447154	0.03129186896447154	3644863
ADE17	CR_04090C_A	0.0042234117551526226	0.02011180581806704	0.3151868739079106	0.11016766725001238	7.677474409466848	0.04367216074742351	7.358749119631825e-4	0.017637780074348953	0.02623504710428004	0.02623504710428004	3641024
ADE2	C3_04520C_A	0.5694335118057958	0.71039183874998	0.061330723394584494	0.1078084610677845	7.489480760851914	0.01775776703888754	7.916952532626389e-4	0.018308782114322127	0.02503644758630182	0.02503644758630182	3635259
ADE4	C1_07710C_A	0.06621822949412683	0.16180044436228858	0.2481497040227874	0.13508836687667003	7.483956492625375	0.052588984351232604	8.967020121752386e-4	0.039656335466504315	0.025002359766060207	0.039656335466504315	3641769
ADE5,7	C1_07890C_A	0.38815709221353945	0.5588394002690097	0.10965068149070424	0.12706282369790328	7.587829635481885	0.03473277780943561	7.723743271438894e-4	0.03510531715304379	0.025654077186216886	0.03510531715304379	3640719
ADE6	CR_04740C_A	0.4774341615224345	0.6373628461703437	0.07424369009142757	0.10450448754562439	7.185664910452933	0.014115365566839577	0.0010753747893629093	0.013306590455789554	0.023193931693245008	0.023193931693245008	3647304
ADE8	C2_03090C_A	0.08297440958504916	0.19107509847279378	0.17412774288001234	0.1004380729978343	6.416969301781723	0.012418817997444846	0.0023786018493784605	0.002188786706276666	0.020038745945106635	0.020038745945106635	3642999
ADH1	C5_05050W_A	0.4830940499476256	0.6419346007302893	-0.130215609311132	0.1856682345518112	11.834484535377742	0.021951763166443043	8.564061661821558e-6	0.019696274824346396	0.07659742109741904	0.07659742109741904	3636489
ADH2	C1_08330C_A	3.383594556994837e-7	6.363719479117733e-6	1.0520457394221367	0.2062542613462471	6.396945196244655	0.39016277225018703	0.003005325759695416	0.09152983051471794	0.020005565639404498	0.09152983051471794	3640751
ADH3	C2_04470W_A	0.6604952732955015	0.7801238115116672	0.12136146021757009	0.2763053675667091	3.3758760343697665	0.15253922140260012	0.05137791731928714	0.11827687411665558	0.058180707007679716	0.11827687411665558	3645465
ADH4	C3_02800W_A	0.041031516417208425	0.11441997234770655	-0.86477872423559	0.42324486209040535	2.272654190976081	0.4893059302197562	0.21208076402363743	0.10971577784956513	0.18599970994508763	0.18599970994508763	3638417
ADH5	CR_02070C_A	0.5111087540518465	0.6651889088969896	0.10244560095604958	0.1559027452233757	10.411191855832259	0.046395749954309846	3.867201723256429e-5	0.0496532640717418	0.05397391902317808	0.05397391902317808	3640156
ADK1	C6_01910W_A	0.6150490006025557	0.7432458405262072	0.05203496424457067	0.10347402326401338	7.111551975645658	0.020938890633488524	0.0010434981943725887	0.02202709506804811	0.02274955400660871	0.02274955400660871	3644533
ADO1	C6_03080C_A	0.4045133582573411	0.5739430371085834	-0.08575861086173028	0.10287893007177609	6.930286605400895	0.022623071973868758	0.001335695776387472	0.0221844692296423	0.021744436642747278	0.0221844692296423	3639274
ADP1	CR_05950C_A	0.6871417640162225	0.8007699759704296	0.04014624763464307	0.09968355211780118	6.575994904960417	0.018664753775636457	0.0016954533604737517	0.01912403628814505	0.020386347890242656	0.020386347890242656	3642458
ADR1	C4_02500C_B	0.011476095905976065	0.04366335915215654	0.28933048619930857	0.1144568076800863	5.878411947405616	0.048726293337373015	0.003710928307211239	0.025400984635713792	0.020017278013042168	0.025400984635713792	3637866
AFG1	C1_08850C_A	0.010574414166605182	0.040919690283971494	-0.41954260960553413	0.16411095932636224	4.006226841013528	0.08663676734924275	0.024943543478683678	0.018191809277713963	0.034906249790247264	0.034906249790247264	3634920
AFG3	C3_01760W_A	0.002449480865261657	0.012855462076311618	0.3095724980065291	0.1021855536952519	6.92151983264407	0.03188100655221104	0.0015040792598463365	0.004507505522997156	0.021700114926831906	0.021700114926831906	3636589
AFL1	C5_00180W_A	0.2814460591158999	0.45131291136336615	0.15213473783296388	0.1412478387943482	7.244270099731309	0.045222678390006814	9.391217317698294e-4	0.04339632707728392	0.023551095145401334	0.04339632707728392	3641594
AFP99	C3_04200W_A	0.10203117433079334	0.2222542423676251	0.41648852983037765	0.25471976194510965	4.22453126813425	0.17434383204385634	0.021879035226505486	0.122303536163213	0.030441100250806128	0.122303536163213	3635184
AFT2	C2_07170C_A	0.10938268982721036	0.23324019912368676	-0.16154579448357675	0.10090469920557574	6.259092250771002	0.027047042213250914	0.002252809417036067	0.020373320186892196	0.019861317440179067	0.020373320186892196	3643511
AGA1	C5_00540C_A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3641536
AGC1	C1_13400C_A	0.2958947784771899	0.4671940331782326	0.12094448961134592	0.11570563880042671	6.653425720953237	0.030095037088570215	0.0017798822719478418	0.027970772950751743	0.02061097806408608	0.027970772950751743	3636219
AGE1	C1_03480C_A	0.008590941812901617	0.034999683370536196	-0.2624639006385026	0.09987525420264093	6.346456760568266	0.022597247640801673	0.0022344167673641335	0.0017220252543846152	0.019932397459396192	0.019932397459396192	3636913
AGE2	C2_09580W_A	0.012255246604964984	0.04594823451279677	0.26540654960100407	0.10596306326007884	5.698131153877905	0.026922066127547984	0.004637046932018819	0.0037689217943502277	0.02031444368011334	0.02031444368011334	3643810
AGE3	C1_02260C_A	8.892982473652197e-7	1.5191966048113008e-5	-0.5100406058501107	0.10377911012225918	6.738735543234418	0.09320337375008987	0.001365321768380218	0.022568242004437557	0.020901958234252657	0.022568242004437557	3644565
AGM1	C1_13760W_A	8.965887274095308e-6	1.1301188145487573e-4	-0.48289035479424514	0.10874148345167513	5.978095739457629	0.08776557397672459	0.0031374777142729785	0.023139656115217996	0.019926717932897468	0.023139656115217996	3636138
AGO1	C4_06340W_A	0.39368164383645915	0.5642571198142764	-0.11243745368350792	0.13182035622967778	5.883285386435627	0.03729956255735152	0.003280209608743511	0.03533447109463237	0.02001122914612729	0.03533447109463237	3642828
AGP2	C4_01100C_A	1.169403703503257e-8	3.257936859946925e-7	1.0532243181305943	0.18464248512534615	8.289424855884182	0.3744253876373611	5.22150742766655e-4	0.07523973217559705	0.030686289362959442	0.07523973217559705	3635684
AGP3	C4_04840C_A	0.5457590263350256	0.6936293572819063	-0.1262004812219921	0.20889717481985545	4.614496900884705	0.08927576916518977	0.0159161655264596	0.08105723369068984	0.02535378919961007	0.08105723369068984	3641163
AHA1	CR_10270C_A	0.029467068252390427	0.09023249148472097	0.3589429976990142	0.16486594550667538	6.096705526649177	0.08864042653106241	0.003661773969881633	0.056739959336362944	0.01987403790660077	0.056739959336362944	3638933
AHP1	C4_02410C_A	4.443712899257005e-4	0.003207435388059354	0.9297895915061872	0.2647294917848537	6.278905786271293	0.37641128089386416	0.002992824867628713	0.15274429473385337	0.01987112753844646	0.15274429473385337	3637850
AHP2	C7_02390W_A	0.36144211694619893	0.5335350432804088	0.10425211452400554	0.1142337951683312	5.814634211300053	0.028392784192402373	0.0037714962848034495	0.02522708140088599	0.020108463685096355	0.02522708140088599	3636977
AHR1	C3_06000W_A	6.494912024414403e-7	1.1456409908153451e-5	-0.5967994712166895	0.11993827924892819	6.152831414611869	0.1269072068469106	0.002617576474882746	0.029349514256659208	0.019855548463632643	0.029349514256659208	3641733
AIF1	C4_03350C_A	3.2565350575765787e-9	1.0494844331498142e-7	0.9194654096344217	0.15536458963285651	4.473663516965494	0.2817732581935266	0.024997575733024077	0.028642770293166833	0.026828472363659754	0.028642770293166833	NA
AIP2	C3_03040W_A	0.763041753127269	0.8559275507327898	-0.031095631636216408	0.10314023854108732	7.089005141353217	0.017948781422627066	0.0010226785029808488	0.019183250009591264	0.02261711884438003	0.02261711884438003	3638393
AKL1	C2_10750C_A	0.3898965720478581	0.5604058251083245	-0.08602740407634267	0.10005455820159861	6.588414890370309	0.012338898233596922	0.0018265832985394647	0.009925581586804833	0.02041989362794295	0.02041989362794295	3641237
