Symbol	GeneID
C1_08080C_A	30515029
C1_08040W_A	30515028
C1_07940W_A	30515027
C1_07920W_A	30515026
C1_07530W_A	30515025
C1_07450W_A	30515024
C1_07320W_A	30515023
tL(AAG)2	30515022
C1_07280C_A	30515021
C1_07160C_A	30515020
C1_07150W_A	30515019
C1_07060C_A	30515018
tL(UAA)4	30515017
tP(AGG)1	30515016
MMD1	30515015
C1_06890C_A	30515014
C1_06870C_A	30515013
C1_06840C_A	30515012
C1_06830W_A	30515011
C1_06640C_A	30515010
C1_06490C_A	30515009
C1_06480C_A	30515008
C1_06470W_A	30515007
RPS14B	30515006
C1_06310W_A	30515005
C1_06300W_A	30515004
C1_06050C_A	30515003
C1_05790W_A	30515002
C1_05730W_A	30515001
C1_05720W_A	30515000
AUT7	30514999
tT(AGU)1	30514998
tN(GUU)1	30514997
tN(GUU)2	30514996
RIB4	30514995
C1_05550C_A	30514994
RPS27A	30514993
tP(UGG)1	30514992
C1_05190C_A	30514991
C1_05180C_A	30514990
C1_04850C_A	30514989
C1_04720W_A	30514988
C1_04590W_A	30514987
C1_04430C_A	30514986
C1_04360C_A	30514985
C1_03840W_A	30514984
tT(CGU)1	30514983
C1_03660W_A	30514982
C1_03620C_A	30514981
C1_03580W_A	30514980
tL(UAA)3	30514979
tN(GUU)3	30514978
ECM33	30514977
C1_03150C_A	30514976
RPL6	30514975
RPS16A	30514974
C1_02770W_A	30514973
C1_02700C_A	30514972
tR(UCU)4	30514971
tR(CCG)1	30514970
C1_02330C_A	30514969
C1_02060W_A	30514968
C1_01970W_A	30514967
C1_01930W_A	30514966
tA(AGC)3	30514965
C1_01720C_A	30514964
tS(UGA)1	30514963
POX18	30514962
RPS21B	30514961
tA(AGC)4	30514960
C1_00980W_A	30514959
C1_00970W_A	30514958
RPB11	30514957
tP(UGG)3	30514956
C1_00450C_A	30514955
C1_00370W_A	30514954
RFC52	30514953
tT(AGU)6	30514952
C6_02090C_A	6335445
CR_09620C_A	6335435
LYS1	6335429
C1_03890W_A	6335419
LYP1	6335417
RPL7	6335362
CR_06090W_A	6335359
CR_06060W_A	6335358
C3_00590W_A	6335207
CTR2	3648427
C1_03690W_A	3648426
C2_06650C_A	3648419
C2_06660W_A	3648418
C3_01150C_A	3648401
RRP15	3648397
TLO34	3648392
C1_06190C_A	3648391
CR_06930W_A	3648382
C4_00500W_A	3648379
CR_03940W_A	3648378
C1_10570C_A	3648377
C1_14560C_A	3648376
CR_06560C_A	3648367
CR_06570C_A	3648366
C1_11150W_A	3648356
GLK1	3648348
CR_07160C_A	3648347
SCT1	3648346
C2_08200W_A	3648342
VAS1	3648340
FOX2	3648327
HGT14	3648320
EAF3	3648318
FGR28	3648315
C4_03920W_A	3648314
ABZ1	3648307
XKS1	3648306
C1_06200W_A	3648300
SNF5	3648297
C4_03990C_A	3648295
CDC45	3648293
C7_02600C_A	3648286
C7_02610C_A	3648285
C4_05260W_A	3648282
RAD59	3648281
USO1	3648280
RIM11	3648277
C2_04300C_A	3648276
ERG10	3648275
C2_04320W_A	3648274
C5_00560W_A	3648267
TEF1	3648254
C2_08380C_A	3648253
C2_08390W_A	3648252
CR_05440W_A	3648245
CSP1	3648242
SUA72	3648239
CR_05480W_A	3648238
CR_05460W_A	3648237
CR_05450C_A	3648236
CR_07140C_A	3648227
ALK8	3648226
CR_07120C_A	3648225
CR_07110C_A	3648224
MSB1	3648218
C1_03720C_A	3648216
MED5	3648211
CR_04940W_A	3648209
PEX14	3648208
CR_04920W_A	3648207
CDC43	3648206
CR_09050C_A	3648197
CR_07700W_A	3648195
CR_07690W_A	3648194
CR_07680C_A	3648193
ARO2	3648190
MIH1	3648188
C3_00790W_A	3648186
C1_12470W_A	3648182
SPB1	3648179
SEC5	3648178
C6_04180W_A	3648176
UCF1	3648170
TIM22	3648168
C2_08320C_A	3648167
C2_08330W_A	3648166
C2_08340C_A	3648165
DIT1	3648147
UGP1	3648144
CR_04680C_A	3648142
CR_04710W_A	3648141
CR_04720C_A	3648140
CR_06380C_A	3648139
RDN5	3648138
RDN25	3648137
RDN58	3648136
RDN18	3648135
CR_05310W_A	3648125
MNN21	3648124
MNT3	3648123
KCS1	3648120
C1_06320W_A	3648118
C2_04830W_A	3648115
C2_04850C_A	3648114
PZF1	3648113
C2_04870C_A	3648111
PEX22	3648103
FRP3	3648102
DBF2	3648101
C4_03320W_A	3648092
IPK1	3648091
C4_03340C_A	3648090
TRP5	3648087
GDH3	3648086
C4_06130W_A	3648085
FGR14	3648083
GUT1	3648082
CR_05210W_A	3648081
CR_05200C_A	3648080
CR_05190W_A	3648079
FGR13	3648078
C4_00080C_A	3648065
C4_00070C_A	3648063
C4_00060W_A	3648061
C4_00050W_A	3648060
CNH1	3648056
C4_00030C_A	3648055
C4_00020W_A	3648053
TLO9	3648051
CR_05360C_A	3648033
YCP4	3648032
PST3	3648031
IFE2	3648027
GRE2	3648026
LSP1	3648025
C2_06740W_A	3648024
C2_06750C_A	3648023
C2_06760C_A	3648022
AMO2	3648021
C2_06710W_A	3648020
CR_07570W_A	3648004
RGD3	3648003
CR_07540C_A	3648001
ECM22	3648000
YPT31	3647999
CR_07510W_A	3647998
CR_07500W_A	3647997
C1_04350C_A	3647996
C1_04370C_A	3647994
SIT4	3647993
NOP4	3647991
APE2	3647990
ESS1	3647989
URA6	3647988
FMA1	3647986
C6_04120C_A	3647974
ALS4	3647972
C6_04140C_A	3647970
ALS3	3647965
CR_07080W_A	3647964
STT4	3647963
FLC2	3647962
C3_01190C_A	3647961
C3_01180C_A	3647960
C3_01170W_A	3647958
MSS4	3647957
UTP20	3647956
C1_07780W_A	3647955
FGR6-3	3647954
FGR6-1	3647947
TLO5	3647926
RRN3	3647925
C2_00050C_A	3647922
C2_00110W_A	3647921
EMC9	3647918
C2_00060C_A	3647914
MPP10	3647912
FAV3	3647911
C2_00090W_A	3647910
PGA52	3647908
HPA2	3647907
ARD	3647906
PGA48	3647905
C6_00170C_A	3647903
C6_00080C_A	3647899
C6_00090W_A	3647898
HET1	3647897
C6_00110C_A	3647896
VID27	3647894
NRG2	3647893
TLO13	3647891
PGA25	3647890
C5_00060C_A	3647889
CDC11	3647888
C5_00080C_A	3647886
C5_00090C_A	3647885
C5_00100C_A	3647883
THS1	3647882
C5_00130C_A	3647881
TLO11	3647880
C5_00030W_A	3647879
C5_00050W_A	3647875
C5_00040C_A	3647874
C5_00140C_A	3647873
C5_00150C_A	3647872
C5_00160W_A	3647871
C5_00170W_A	3647870
HIS7	3647868
C7_03730C_A	3647867
C7_03760W_A	3647865
YAF9	3647864
C7_03690W_A	3647862
ENP1	3647861
PLC1	3647860
RAM1	3647859
PTP2	3647858
C4_03880W_A	3647856
C4_03870C_A	3647855
C4_03860C_A	3647854
C4_03850W_A	3647853
RRP42	3647852
C4_03830W_A	3647851
HRQ2	3647850
C6_04080W_A	3647837
C6_04100W_A	3647836
C6_04110W_A	3647834
ALG2	3647832
RVS167	3647831
C6_04050W_A	3647830
C6_04060W_A	3647828
C6_04070C_A	3647826
YAK1	3647801
RPB4	3647800
SNU114	3647798
FGR51	3647796
URE2	3647795
C2_04700C_A	3647794
TPO5	3647791
TIM17	3647790
C2_04670W_A	3647789
C2_04730W_A	3647787
C2_04740C_A	3647786
C2_04750W_A	3647785
KIC1	3647784
C2_04770W_A	3647783
C2_04780W_A	3647781
C2_04790C_A	3647779
MDM10	3647778
HIS3	3647777
C2_04820W_A	3647776
ATO1	3647761
C3_00840C_A	3647758
C3_00830C_A	3647757
C3_00910W_A	3647755
AYR1	3647754
C3_00890C_A	3647753
KGD1	3647752
CSE4	3647750
C3_00850C_A	3647748
C5_04030W_A	3647737
C5_04050W_A	3647735
MEC1	3647733
CKS1	3647732
C5_04080C_A	3647731
SUI1	3647730
CDS1	3647729
RPL3	3647719
C2_09420W_A	3647718
ERG24	3647716
ABG1	3647715
PMS1	3647714
C2_09460C_A	3647713
OPT4	3647697
CR_02500W_A	3647696
CR_02510W_A	3647694
RPC19	3647693
DBP2	3647692
CHO2	3647690
CR_02550C_A	3647689
ASG1	3647687
CR_02570C_A	3647685
PAN6	3647684
C1_10630C_A	3647683
C1_10620W_A	3647682
FCY23	3647681
C1_10580C_A	3647679
C1_10680C_A	3647678
RPA190	3647677
TBP1	3647675
APN2	3647674
PEA2	3647673
GPI7	3647672
GPT1	3647671
TRY2	3647670
C1_05100W_A	3647669
ARO4	3647668
C1_05120W_A	3647667
BRG1	3647664
TEP1	3647653
C7_02660C_A	3647652
C7_02670W_A	3647651
TOM22	3647650
C7_02690C_A	3647649
RBP1	3647647
C7_02630W_A	3647646
TOM70	3647645
PEP1	3647612
RAX2	3647610
GSG1	3647609
C1_12530C_A	3647608
C1_12540W_A	3647607
CDC54	3647606
DLH1	3647605
C1_12570C_A	3647604
C1_12580W_A	3647603
ATP20	3647602
CHR1	3647601
CR_05500C_A	3647598
STE13	3647597
NOC2	3647596
CWT1	3647595
CR_05540C_A	3647594
CR_05550C_A	3647593
CR_05560W_A	3647592
RNR3	3647591
CR_05580C_A	3647590
SRR1	3647589
C6_02020C_A	3647563
C6_02030C_A	3647562
MCR1	3647561
DBR1	3647560
SLM2	3647559
RPL23A	3647558
C6_02100W_A	3647554
C6_02110W_A	3647553
CHC1	3647552
CTF5	3647550
REI1	3647536
RRP6	3647535
PSF2	3647534
ARG2	3647533
C1_05010C_A	3647532
RHD1	3647531
C1_04990C_A	3647530
C1_04980C_A	3647529
C1_04970W_A	3647528
C1_04960C_A	3647527
C1_06250W_A	3647525
PGA50	3647524
C1_06270W_A	3647523
UME6	3647522
BUD16	3647519
C1_06220C_A	3647518
MDM34	3647517
C2_05840W_A	3647484
C2_05830C_A	3647483
C2_05820W_A	3647482
C2_05810W_A	3647481
TES1	3647480
C2_05960C_A	3647479
TES15	3647478
VPS33	3647477
C2_05910W_A	3647476
C2_05900W_A	3647475
IDP1	3647474
C2_05860C_A	3647473
C2_05850C_A	3647472
C3_07880C_A	3647470
TIM8	3647469
MRR2	3647468
C3_07850W_A	3647466
C3_07840C_A	3647465
FBP1	3647464
C3_07820W_A	3647463
SEC61	3647462
C3_07800C_A	3647461
STD1	3647459
NUP159	3647458
C3_07770C_A	3647457
TLO8	3647455
SRB1	3647454
C3_07940W_A	3647453
C3_07930C_A	3647452
C3_07900C_A	3647450
C3_07910W_A	3647449
C5_03920C_A	3647448
C5_03930C_A	3647447
C5_03940C_A	3647446
C5_03950W_A	3647445
C5_03960W_A	3647444
C5_03970W_A	3647443
C5_03980W_A	3647442
MID1	3647441
RFC3	3647440
C5_04010C_A	3647439
FGR42	3647438
C4_05180C_A	3647413
NBP35	3647412
C4_05160C_A	3647411
VAC8	3647410
GDB1	3647409
ALD6	3647407
HAP41	3647405
MYO5	3647404
C3_03980C_A	3647399
AAP1	3647397
CTN3	3647396
ZCF16	3647395
PEX8	3647393
C3_04040W_A	3647391
HEM13	3647390
CDR11	3647389
SAP2	3647354
YHB1	3647353
CR_07780W_A	3647352
PTC6	3647351
CR_07750C_A	3647350
ASF1	3647348
CR_07850W_A	3647347
CR_07840C_A	3647346
CR_07830C_A	3647345
CR_07820W_A	3647344
YHB5	3647343
HHF22	3647327
HHT2	3647326
CR_06820W_A	3647325
SIW14	3647323
CR_06840W_A	3647322
ARO10	3647320
CR_06870C_A	3647318
ALG6	3647316
BUD5	3647315
CR_06920W_A	3647314
CR_06770C_A	3647313
CR_06780W_A	3647312
CR_06790C_A	3647311
CR_04870C_A	3647310
CR_04880W_A	3647309
LYS5	3647308
PGA39	3647306
CR_04730W_A	3647305
ADE6	3647304
CR_04760C_A	3647303
CR_04770C_A	3647302
RPB8	3647301
MNT4	3647300
RPS3	3647299
CR_04820W_A	3647298
CR_04830C_A	3647297
MSS11	3647296
CR_04850C_A	3647295
CR_04860C_A	3647294
CR_07640C_A	3647258
GLC7	3647257
CR_07660C_A	3647256
CR_07670W_A	3647255
SPB4	3647252
C5_01610W_A	3647251
VPS22	3647250
MAS2	3647249
MYO1	3647248
EMP24	3647247
AAT21	3647241
C5_03710C_A	3647240
C5_03730W_A	3647238
C5_03740W_A	3647237
FAV2	3647236
MTR10	3647235
C5_03770C_A	3647233
C5_03780C_A	3647232
GUK1	3647231
C5_03800W_A	3647230
C5_03810C_A	3647229
BUD7	3647228
C5_03830C_A	3647227
C5_03840W_A	3647226
C5_03850W_A	3647225
HAM1	3647224
C5_03870C_A	3647223
C5_03880C_A	3647222
C5_03910C_A	3647221
C1_10560C_A	3647196
GCA2	3647194
C1_10540C_A	3647193
SNL1	3647192
C1_10520W_A	3647191
C1_10510W_A	3647189
C1_10500W_A	3647188
LKH1	3647187
DJP1	3647186
C1_10470W_A	3647184
C1_10460W_A	3647183
GLY1	3647181
C1_10440W_A	3647180
PHO8	3647179
C1_10420C_A	3647178
FET3	3647153
FET99	3647152
FET31	3647151
C6_00490W_A	3647150
C6_00500C_A	3647149
RAD52	3647148
C6_00520W_A	3647147
C6_00540W_A	3647146
C6_00550W_A	3647144
C6_00560W_A	3647143
NHX1	3647141
SLY41	3647139
YHM2	3647137
C6_00630W_A	3647135
C6_00640C_A	3647134
C6_00660C_A	3647133
CDC14	3647132
FET34	3647131
CR_09510C_A	3647105
CR_09520C_A	3647103
CR_09530C_A	3647101
NUO1	3647100
CR_09560C_A	3647099
CR_09570W_A	3647098
CR_09580C_A	3647097
CR_09590W_A	3647095
CR_09610C_A	3647094
WAL1	3647093
CR_09660W_A	3647092
CR_09670C_A	3647091
RTA4	3647090
PLB3	3647089
CR_09700W_A	3647088
PCD1	3647087
VMA22	3647086
SSF1	3647085
FAT1	3647083
PGK1	3647081
C6_00760W_A	3647080
C6_00770C_A	3647079
SEC8	3647078
CTR1	3647077
C6_00690W_A	3647075
C6_00700C_A	3647074
C6_00710W_A	3647073
COX15	3647071
C6_00730W_A	3647070
C6_00800C_A	3647069
C6_00810C_A	3647068
SUN41	3647067
CAN3	3647066
C5_01560C_A	3647064
C5_01550C_A	3647063
C5_01530C_A	3647062
GLR1	3647061
SMD3	3647060
ZCF20	3647059
C5_01490C_A	3647058
FYV5	3647057
C5_01430C_A	3647056
C5_01420W_A	3647055
C5_01410C_A	3647054
SEF2	3647052
C5_01470C_A	3647050
YBL053	3647045
PRC2	3647044
C5_01440C_A	3647043
C5_01590W_A	3647041
CEF3	3647040
SPO1	3647039
C5_03700C_A	3646990
C5_03690W_A	3646989
FGR27	3646988
C5_03670C_A	3646987
C5_03650C_A	3646986
C5_03640W_A	3646984
C5_03630C_A	3646983
BTS1	3646982
HEX1	3646981
MDJ1	3646980
LAP4	3646979
CAC2	3646978
C5_03570W_A	3646976
C5_03560W_A	3646975
C5_03550W_A	3646973
RPS25B	3646972
C5_03530C_A	3646971
C5_03520W_A	3646970
C5_03510C_A	3646969
GAP6	3646968
C5_03490C_A	3646967
C5_03480C_A	3646965
C5_03470C_A	3646963
OFD1	3646962
CBR1	3646961
C4_05440C_A	3646960
C4_05330C_A	3646959
C4_05310W_A	3646958
GAP5	3646954
TSC2	3646953
C4_05400C_A	3646952
C4_05390W_A	3646951
PUF3	3646950
C4_05360C_A	3646949
C4_05350W_A	3646948
C4_05340W_A	3646947
EFH1	3646929
AVT1	3646928
C2_06320W_A	3646927
GSP1	3646925
C2_06300W_A	3646924
C2_06280C_A	3646923
C2_06270W_A	3646921
MAK16	3646920
C2_06350C_A	3646919
ILV1	3646918
FGR12	3646917
C2_06260W_A	3646913
CDC46	3646912
C2_06230W_A	3646911
MEC3	3646910
SER1	3646909
C2_06200C_A	3646908
C4_04190C_A	3646860
SOH1	3646859
DUO1	3646858
C4_04230W_A	3646857
C4_04240C_A	3646856
C4_04250W_A	3646855
YFH1	3646853
C4_04350W_A	3646852
C4_04360W_A	3646851
VAC7	3646849
FZO1	3646848
C4_04270W_A	3646847
C4_04280C_A	3646846
SEC15	3646845
C4_04300C_A	3646843
COX11	3646842
FRE10	3646841
C4_04330C_A	3646840
C1_12630C_A	3646838
C1_12640W_A	3646837
C1_12650C_A	3646836
C1_12660W_A	3646835
C1_12670C_A	3646834
C1_12680W_A	3646833
C1_12690C_A	3646832
C1_12700W_A	3646831
RBK1	3646830
FEN1	3646829
C1_12800W_A	3646828
C1_12810W_A	3646827
C1_12820C_A	3646826
C1_12610W_A	3646825
SPA2	3646824
C1_12710C_A	3646822
C1_12720C_A	3646821
RVS162	3646820
C1_12740W_A	3646819
C1_12750C_A	3646818
C1_12760W_A	3646817
RPG1A	3646816
C4_03480C_A	3646815
ECE1	3646814
C4_03460C_A	3646813
JAB1	3646811
DOT4	3646810
MOH1	3646809
C4_03410W_A	3646807
HWP2	3646803
C4_03500C_A	3646801
C4_03490C_A	3646799
CSH3	3646798
DAO2	3646797
C4_03370C_A	3646796
VTC4	3646795
C4_03350C_A	3646794
RBR3	3646728
LIP8	3646727
C7_03310W_A	3646726
MED16	3646725
SHM1	3646724
PRR2	3646723
C7_03350C_A	3646722
CPY1	3646721
C7_03370C_A	3646720
PUP3	3646718
C7_03400C_A	3646717
C7_03410C_A	3646716
SNG3	3646715
SNG4	3646714
HSM3	3646713
C7_03460W_A	3646712
C7_03470W_A	3646711
VMA2	3646710
ACO2	3646708
CR_05800C_A	3646706
ISC1	3646705
CR_05840W_A	3646704
CR_05860W_A	3646703
CR_05880W_A	3646702
CR_05700C_A	3646701
CR_05710C_A	3646700
TPS1	3646699
